"","1.BC31","1.BC39","1.BC47","1.CR3","2.BC10","2.BC11","2.BC27","2.BC2","2.BC30","2.BC35","2.BC36","2.BC38","2.BC3","2.BC41","2.BC4","2.BC59","2.BC5","2.BC6","2.BC7","2.BC8","2.BC93","2.BC9","2.CR12","2.CR15","3.BC12","3.BC50","3.BC55","3.BC58","3.BC62","3.BC74","3.BC75","3.BC77","3.BC80","3.BC82","3.BC83","3.BC84","3.BC86","3.CR1","3.CR4","3.CR5","3.CR8"
"hsa-miR-6758-3p",0,0,0,0,0,0,0,0,0,0,0,2.48501219978925,0,0,0,0.0837938967016833,0,0,0,0,0,2.22175701776402,0.8402638794373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6758-5p",36.9058145362348,0,4.38451884828028,0,1.26074974688726,0,2.65160757667358,0.225492054301455,0,0,0,0,0,0,0,0.0837938967016833,0,0,0.638996108978952,0.90082444079907,0,2.22175701776402,0,0,7.99908906966943,0,0.239560270194503,0,0.778313040991873,0.225878369438379,0,0.258013256583175,0.221993788970286,0,0.429600794729066,0,0.218158654601997,0,14.0580285996761,0.569186476118226,0.248905964959357
"hsa-miR-6759-5p",0,0,0,0,0,0,0,0,0,0.423485460115689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11293918471919,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-676-3p",0,0,6.57677827242042,0,0,0,0,0.450984108602911,0,0.211742730057845,0,0,0,0,0,0.25138169010505,0,1.84501191392496,0,0,0,0,0.8402638794373,0,0,0.49652106329478,0,0.718942362544646,0,0,0.497069076937918,0.774039769749524,0.665981366910857,0.402880823638659,1.37472254313301,0,0,0,0,0,0
"hsa-miR-6761-3p",0,0,0,0,1.26074974688726,2.67542625568078,0,0,3.21819055857346,0,0,0,0,0.290256870692545,0,0,0,0,0,0,0,0,0,7.31760284989193,0,0.49652106329478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6761-5p",0,0,0,0,0,0,0,0,0,0,0,2.48501219978925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671468039397765,0,0,0,0,0,0,0
"hsa-miR-6762-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0.580513741385091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11293918471919,0,0,0,0.134293607879553,0,0,0,0,0,0,0
"hsa-miR-6762-5p",0,0,0,0,0,0,0,0,0,0,0,2.48501219978925,0,0,0,0,0,1.84501191392496,0,0,0,0,0,0,0,0,0,0,0.259437680330624,0.11293918471919,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6763-3p",0,0,0,0,0,0,0,0,1.60909527928673,0,0,0,0,0,0,0,0,5.53503574177489,0,0,3.62070740891593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6763-5p",0,0,0,0,1.26074974688726,8.02627876704233,0,0.676476162904366,0,0.635228190173534,0,0,4.07883689081585,0,0,1.17311455382357,0,1.84501191392496,0,0,0,2.22175701776402,0,7.31760284989193,0,0.99304212658956,0.71868081058351,0,0.908031881157185,0.564695923595949,0.994138153875836,1.54807953949905,0,0.537174431518212,0.429600794729066,0,0.872634618407987,0,14.0580285996761,0.569186476118226,0
"hsa-miR-6764-3p",0,0,0,0,0,0,0,0.225492054301455,0,0,0,0,0,0,0,0.0837938967016833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6764-5p",0,0,0,0,0,0,0,0,0,0.846970920231379,0,0,0,0,0,0.670351173613467,2.72235304863604,0,0,0,0,0,0.8402638794373,0,0,0,0,0,0.129718840165312,0.225878369438379,0.248534538468959,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6765-3p",0,0,2.19225942414014,0,0,0,0,1.12746027150728,0,0,0,0,0,0,3.96577678951418,0.5027633802101,0,1.84501191392496,1.91698832693686,0,0,4.44351403552804,0,14.6352056997839,0,0,0,0,0,0,0,0,0,0,0.171840317891626,0,0,0,0,0,0
"hsa-miR-6765-5p",0,0,0,0,0,2.67542625568078,0,0,0,0.211742730057845,0,0,0,0.290256870692545,1.98288839475709,0,0,0,0,0,0,0,0.8402638794373,0,2.66636302322314,0,0,1.29409625258036,0.194578260247968,0.11293918471919,0,0,0.665981366910857,0,1.2888023841872,0,0.218158654601997,0,0,0,1.7423417547155
"hsa-miR-6766-5p",0,0,0,0,0,0,0,0,0,0,0,0,4.07883689081585,0,0,0,0,0,0.638996108978952,1.80164888159814,0,0,0,0,0,0,0,0,0,0.11293918471919,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6767-5p",0,0,0,0,0,0,0,0.225492054301455,0,0.423485460115689,16.1066059121549,0,4.07883689081585,0.290256870692545,0,0,0,0,0,1.80164888159814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343680635783253,0,0,0,0,0,0
"hsa-miR-6769a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66636302322314,0,0,0,0.259437680330624,0.11293918471919,0,0,0,0,0,0,0,0,0,0,0.248905964959357
"hsa-miR-6769b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0837938967016833,0,0,0,0,0,0,0,0,0,0,0,0.143788472508929,0,0,0,0,0.887975155881143,0.134293607879553,0,0,0,0,4.01657959990745,0,0
